width,height,sharpness,brightness,contrast,saturation,noise_level,label
640,426,5684.8641,132.3825,44.2593,104.2633,10.789,NOISY
640,427,1706.1649,132.7666,91.8786,79.8831,4.2271,ACCEPTABLE
640,427,7.8379,132.7962,87.795,74.6541,0.3595,BLUR
640,427,276.7385,46.057,32.2817,84.1026,1.7118,UNDEREXPOSED
640,427,2521.9451,168.4633,93.5484,64.8225,4.4061,OVEREXPOSED
640,427,5676.7769,131.2644,88.9706,86.2961,10.5747,NOISY
427,640,316.487,80.6835,50.9301,75.7877,1.83,ACCEPTABLE
427,640,3.9589,80.6673,48.548,73.2424,0.1852,BLUR
427,640,57.7349,27.7634,17.8459,79.5928,0.7547,UNDEREXPOSED
427,640,767.3868,135.7572,73.0323,70.6744,2.8175,OVEREXPOSED
427,640,5463.8313,80.7928,52.1457,90.0399,10.6056,NOISY
640,427,1285.9887,131.0094,73.5191,50.7228,3.2359,ACCEPTABLE
640,427,6.0769,131.0293,69.5698,48.593,0.2803,BLUR
640,427,202.6094,45.3987,25.8184,52.5096,1.2802,UNDEREXPOSED
640,427,2127.5531,185.7621,71.3275,45.5472,3.7727,OVEREXPOSED
640,427,6171.0223,129.1981,72.6022,62.8657,11.1725,NOISY
640,427,407.3247,90.0678,54.0444,56.5552,1.8458,ACCEPTABLE
640,427,2.4958,90.0792,52.5819,55.5947,0.1165,BLUR
640,427,76.0106,31.1719,18.8776,59.8854,0.7744,UNDEREXPOSED
640,427,767.7244,146.7457,73.5033,44.4299,2.179,OVEREXPOSED
640,427,5778.9724,89.844,55.968,77.5883,10.9238,NOISY
640,427,797.191,145.9755,73.9163,84.8773,3.6875,ACCEPTABLE
640,427,5.9688,145.9678,70.2458,81.1554,0.2996,BLUR
640,427,139.0699,50.6278,25.9113,87.0154,1.5115,UNDEREXPOSED
640,427,1065.2475,196.0525,78.5377,61.8187,3.1464,OVEREXPOSED
640,427,5513.9652,145.0747,73.3699,88.9932,10.7619,NOISY
640,427,726.084,139.4012,56.6741,80.2638,3.033,ACCEPTABLE
640,427,4.8594,139.3967,53.344,77.6417,0.266,BLUR
640,427,121.0796,48.3013,19.8754,82.4553,1.1996,UNDEREXPOSED
640,427,1739.9422,206.9876,60.4164,58.6153,4.0665,OVEREXPOSED
640,427,6019.9778,138.7179,58.0834,82.8817,11.2699,NOISY
640,427,1219.2481,108.8413,82.7151,127.8975,3.4548,ACCEPTABLE
640,427,5.4557,108.8289,79.5366,124.2348,0.2539,BLUR
640,427,206.1048,37.6135,29.0146,132.491,1.4204,UNDEREXPOSED
640,427,1441.7052,148.7119,95.7368,112.1328,3.297,OVEREXPOSED
640,427,5506.6934,109.2144,81.2839,130.7659,10.6243,NOISY
640,427,45.2111,186.5631,43.7573,26.3475,0.4153,ACCEPTABLE
640,427,1.8961,186.5948,43.0449,26.091,0.0647,BLUR
640,427,9.0892,64.8343,15.351,27.4492,0.1628,UNDEREXPOSED
640,427,47.4266,243.2279,36.1006,6.2069,0.2209,OVEREXPOSED
640,427,5385.1803,185.609,46.2901,31.4618,10.5119,NOISY
640,426,1731.4053,83.5712,48.9031,104.7754,5.7804,ACCEPTABLE
640,426,5.284,83.564,43.432,99.4718,0.2896,BLUR
640,426,299.0663,28.7365,17.2207,109.6144,2.3706,UNDEREXPOSED
640,426,3859.9722,141.4048,71.736,98.5739,8.5002,OVEREXPOSED
640,426,6832.6023,83.673,50.6742,107.8841,12.147,NOISY
640,427,1669.1706,122.0209,64.0066,140.7077,5.1146,ACCEPTABLE
640,427,8.83,122.0456,57.3359,137.4172,0.4343,BLUR
640,427,281.5948,42.2479,22.5038,143.9011,2.098,UNDEREXPOSED
640,427,2469.3587,178.7379,71.0785,118.5897,5.6497,OVEREXPOSED
640,427,6529.3799,121.204,64.2356,140.7451,11.7793,NOISY
640,356,377.602,104.5595,42.8748,100.8553,1.688,ACCEPTABLE
640,356,2.7808,104.5613,41.3461,99.4458,0.1175,BLUR
640,356,72.2314,36.1181,15.0438,103.1133,0.7109,UNDEREXPOSED
640,356,790.9238,176.0977,58.9151,90.7928,2.4364,OVEREXPOSED
640,356,5932.2362,104.2224,45.7224,106.8922,11.0565,NOISY
640,457,898.3762,114.5434,57.9449,46.4232,2.7817,ACCEPTABLE
640,457,4.1558,114.541,55.3672,44.7849,0.1999,BLUR
640,457,148.7602,39.5985,20.2867,47.8382,1.1216,UNDEREXPOSED
640,457,1274.915,183.5046,81.1573,36.4753,2.6408,OVEREXPOSED
640,457,6210.2756,114.4754,59.4341,61.9829,11.3159,NOISY
640,427,3480.3877,112.8804,51.5992,170.1205,7.0147,ACCEPTABLE
640,427,6.2775,112.84,44.3445,166.2152,0.3301,BLUR
640,427,542.4896,39.0397,18.1624,171.5845,2.7963,UNDEREXPOSED
640,427,4681.5538,177.0725,66.7907,148.2986,7.6208,OVEREXPOSED
640,427,8389.8195,112.9387,52.8107,165.2256,13.0525,NOISY
640,427,1357.9653,140.236,61.1803,33.6613,4.2779,ACCEPTABLE
640,427,4.7543,140.2363,57.3604,29.9248,0.22,BLUR
640,427,225.9705,48.6028,21.4629,35.2136,1.746,UNDEREXPOSED
640,427,2657.4991,205.9898,74.5221,27.1339,4.7193,OVEREXPOSED
640,427,6680.4256,140.0958,62.5796,49.2733,11.9048,NOISY
640,427,364.3014,136.884,66.7943,96.78,1.7229,ACCEPTABLE
640,427,3.6428,136.8791,65.1752,95.3883,0.1847,BLUR
640,427,44.5325,47.3945,23.3554,99.0428,0.5795,UNDEREXPOSED
640,427,801.2756,196.526,75.8015,64.3466,2.2533,OVEREXPOSED
640,427,5681.098,136.3003,67.6761,97.5064,10.8463,NOISY
640,427,1706.1649,132.7666,91.8786,79.8831,4.2271,ACCEPTABLE
640,427,7.8379,132.7962,87.795,74.6541,0.3595,BLUR
640,427,276.7385,46.057,32.2817,84.1026,1.7118,UNDEREXPOSED
640,427,2521.9451,168.4633,93.5484,64.8225,4.4061,OVEREXPOSED
640,427,5666.9217,131.3216,89.0465,86.3068,10.5626,NOISY
640,413,1685.2257,110.6422,49.8083,73.5097,3.6729,ACCEPTABLE
640,413,4.623,110.6461,45.6161,71.3494,0.2445,BLUR
640,413,265.9659,38.2507,17.4956,76.4286,1.4297,UNDEREXPOSED
640,413,2846.875,180.5653,64.8092,61.2578,4.541,OVEREXPOSED
640,413,7095.7972,110.2323,52.026,83.1446,12.1067,NOISY
427,640,316.487,80.6835,50.9301,75.7877,1.83,ACCEPTABLE
427,640,3.9589,80.6673,48.548,73.2424,0.1852,BLUR
427,640,57.7349,27.7634,17.8459,79.5928,0.7547,UNDEREXPOSED
427,640,767.3868,135.7572,73.0323,70.6744,2.8175,OVEREXPOSED
427,640,5461.9182,80.7789,52.1145,90.012,10.5986,NOISY
640,427,293.1417,171.2598,58.7023,56.9546,1.4901,ACCEPTABLE
640,427,3.0236,171.2686,57.2738,55.3031,0.1336,BLUR
640,427,52.7255,59.4765,20.5791,58.4062,0.5929,UNDEREXPOSED
640,427,608.6679,229.6465,47.5922,37.5824,1.6642,OVEREXPOSED
640,427,5206.3144,169.5154,58.9547,60.259,10.2804,NOISY
640,427,531.7623,56.2725,48.43,52.8243,1.6271,ACCEPTABLE
640,427,1.9299,56.2801,47.0057,51.6156,0.0836,BLUR
640,427,103.6619,19.1554,17.031,43.5863,0.696,UNDEREXPOSED
640,427,579.775,92.5563,66.9993,41.8916,1.5807,OVEREXPOSED
640,427,5338.3233,56.8246,50.0077,104.233,10.4934,NOISY
640,427,788.9938,108.4166,49.8636,162.7198,2.917,ACCEPTABLE
640,427,5.4985,108.3937,45.3794,160.2407,0.2845,BLUR
640,427,126.5007,37.4681,17.4869,165.1559,1.1525,UNDEREXPOSED
640,427,1183.5525,173.2815,62.9917,147.9781,3.4928,OVEREXPOSED
640,427,6124.9274,108.2852,51.7729,159.7889,11.3145,NOISY
640,427,1872.1587,102.2889,58.4012,97.7103,5.5569,ACCEPTABLE
640,427,8.1787,102.2382,51.0516,92.5035,0.3905,BLUR
640,427,310.9817,35.3465,20.507,100.1929,2.2672,UNDEREXPOSED
640,427,3217.8799,162.9845,76.9903,87.1664,6.5374,OVEREXPOSED
640,427,6883.5745,102.38,59.4334,104.449,12.1678,NOISY
640,425,2699.4971,97.6745,58.7625,103.8523,4.4438,ACCEPTABLE
640,425,3.2446,97.6698,55.3109,100.4925,0.154,BLUR
640,425,390.1642,33.7063,20.6221,106.283,1.6934,UNDEREXPOSED
640,425,5354.0265,153.6614,77.8201,84.6179,5.9936,OVEREXPOSED
640,425,7636.2404,97.5133,59.5899,117.3561,12.3509,NOISY
640,427,293.1417,171.2598,58.7023,56.9546,1.4901,ACCEPTABLE
640,427,3.0236,171.2686,57.2738,55.3031,0.1336,BLUR
640,427,52.7255,59.4765,20.5791,58.4062,0.5929,UNDEREXPOSED
640,427,608.6679,229.6465,47.5922,37.5824,1.6642,OVEREXPOSED
640,427,5260.6756,169.3894,58.9654,60.3848,10.3313,NOISY
640,427,1999.497,115.0512,69.3063,100.9403,5.4465,ACCEPTABLE
640,427,9.1062,115.0482,62.6671,94.355,0.4267,BLUR
640,427,319.5357,39.7836,24.3353,106.122,2.1833,UNDEREXPOSED
640,427,2804.7095,171.6129,88.498,84.1974,5.4603,OVEREXPOSED
640,427,6749.0827,115.3398,69.1826,106.7165,11.8896,NOISY
640,427,522.3569,183.8463,52.1238,75.6943,2.2252,ACCEPTABLE
640,427,4.8214,183.8481,48.9498,74.202,0.2361,BLUR
640,427,95.0944,63.8809,18.2952,76.6771,0.9112,UNDEREXPOSED
640,427,531.2741,236.0782,40.1898,46.1757,1.6449,OVEREXPOSED
640,427,5289.9625,181.9492,52.5561,76.6524,10.4187,NOISY
640,457,898.3762,114.5434,57.9449,46.4232,2.7817,ACCEPTABLE
640,457,4.1558,114.541,55.3672,44.7849,0.1999,BLUR
640,457,148.7602,39.5985,20.2867,47.8382,1.1216,UNDEREXPOSED
640,457,1274.915,183.5046,81.1573,36.4753,2.6408,OVEREXPOSED
640,457,6210.4659,114.4958,59.4203,62.0542,11.3219,NOISY
640,427,180.4759,60.3682,61.9835,107.6098,1.4757,ACCEPTABLE
640,427,6.1683,60.393,58.1301,100.0681,0.2903,BLUR
640,427,29.9698,20.6778,21.6813,115.1477,0.5555,UNDEREXPOSED
640,427,517.5778,96.8621,88.1955,103.6491,2.3291,OVEREXPOSED
640,427,4494.336,62.7555,61.3481,112.6886,9.5665,NOISY
480,640,2723.2556,120.512,61.3293,48.2939,5.6588,ACCEPTABLE
480,640,7.4998,120.5081,54.634,45.6334,0.3495,BLUR
480,640,447.1142,41.6997,21.5678,50.2464,2.3552,UNDEREXPOSED
480,640,3626.3528,184.434,76.0218,30.2193,5.5122,OVEREXPOSED
480,640,7860.7422,120.139,62.5561,63.5301,12.4998,NOISY
640,427,1023.8976,136.9444,57.9169,105.8538,2.8478,ACCEPTABLE
640,427,5.1028,136.9221,54.2936,102.8113,0.2604,BLUR
640,427,166.0951,47.4634,20.307,106.8953,1.1363,UNDEREXPOSED
640,427,1506.3515,201.9419,69.5924,90.6356,3.1294,OVEREXPOSED
640,427,6292.2661,136.9131,59.2385,105.3529,11.3561,NOISY
640,427,1360.998,164.853,42.8297,132.3858,4.4234,ACCEPTABLE
640,427,6.0257,164.8287,36.3074,129.6481,0.2957,BLUR
640,427,229.1986,57.2022,15.0743,133.3192,1.7898,UNDEREXPOSED
640,427,1842.0613,230.0889,41.5588,76.1878,3.6257,OVEREXPOSED
640,427,6433.2003,163.6231,44.889,130.6989,11.6676,NOISY
640,427,1198.8088,185.2526,65.2065,78.5644,3.4216,ACCEPTABLE
640,427,6.3453,185.246,60.6237,76.3109,0.293,BLUR
640,427,203.4618,64.4081,22.9157,79.731,1.3942,UNDEREXPOSED
640,427,1343.5174,225.0854,52.8158,58.6274,2.8652,OVEREXPOSED
640,427,5529.1601,182.8192,65.0449,81.639,10.6774,NOISY
640,427,3480.3877,112.8804,51.5992,170.1205,7.0147,ACCEPTABLE
640,427,6.2775,112.84,44.3445,166.2152,0.3301,BLUR
640,427,542.4896,39.0397,18.1624,171.5845,2.7963,UNDEREXPOSED
640,427,4681.5538,177.0725,66.7907,148.2986,7.6208,OVEREXPOSED
640,427,8393.7828,112.98,52.8341,165.4396,13.0546,NOISY
640,494,2157.716,101.2221,65.6412,92.3499,5.5312,ACCEPTABLE
640,494,4.3557,101.2228,62.5209,87.3165,0.2221,BLUR
640,494,389.083,34.9428,23.0823,94.0696,2.2976,UNDEREXPOSED
640,494,4714.7704,156.518,82.0578,73.3532,7.5501,OVEREXPOSED
640,494,6858.441,101.1872,65.605,100.2486,11.8786,NOISY
640,424,295.6564,134.2854,61.7638,81.1581,1.3323,ACCEPTABLE
640,424,2.6547,134.2758,60.6455,80.6628,0.1181,BLUR
640,424,52.2451,46.5391,21.642,82.9915,0.5341,UNDEREXPOSED
640,424,335.6905,199.8871,72.3277,69.4871,0.9674,OVEREXPOSED
640,424,5671.0873,133.8625,63.0815,85.8542,10.8042,NOISY
640,480,522.369,89.0687,76.6273,110.6092,2.188,ACCEPTABLE
640,480,4.6362,89.0592,74.3987,106.4212,0.2259,BLUR
640,480,93.5864,30.7032,26.8356,115.4152,0.9075,UNDEREXPOSED
640,480,624.245,132.2261,101.1526,101.522,2.0068,OVEREXPOSED
640,480,4820.7064,90.9776,75.1251,125.2335,9.8272,NOISY
640,427,531.7623,56.2725,48.43,52.8243,1.6271,ACCEPTABLE
640,427,1.9299,56.2801,47.0057,51.6156,0.0836,BLUR
640,427,103.6619,19.1554,17.031,43.5863,0.696,UNDEREXPOSED
640,427,579.775,92.5563,66.9993,41.8916,1.5807,OVEREXPOSED
640,427,5305.9527,56.8759,50.0261,104.4175,10.4704,NOISY
640,427,3031.4931,121.6916,80.2988,89.0243,4.4672,ACCEPTABLE
640,427,5.4977,121.6803,76.2305,83.589,0.2402,BLUR
640,427,420.3442,42.1167,28.1473,93.1277,1.7209,UNDEREXPOSED
640,427,3503.8874,172.4171,91.9245,79.3512,4.5303,OVEREXPOSED
640,427,7267.9416,121.4159,78.3089,93.8534,11.5405,NOISY
640,427,585.1359,168.4649,58.9424,67.3416,1.7372,ACCEPTABLE
640,427,3.4984,168.4467,56.6807,66.1849,0.1684,BLUR
640,427,97.3698,58.491,20.6604,69.0195,0.6908,UNDEREXPOSED
640,427,824.2417,223.523,52.272,52.5648,1.7188,OVEREXPOSED
640,427,5719.219,167.3539,60.1473,72.8465,10.8384,NOISY
640,427,45.2111,186.5631,43.7573,26.3475,0.4153,ACCEPTABLE
640,427,1.8961,186.5948,43.0449,26.091,0.0647,BLUR
640,427,9.0892,64.8343,15.351,27.4492,0.1628,UNDEREXPOSED
640,427,47.4266,243.2279,36.1006,6.2069,0.2209,OVEREXPOSED
640,427,5379.1207,185.5853,46.27,31.5006,10.5106,NOISY
640,494,3914.8554,181.4019,63.7298,36.5868,7.0123,ACCEPTABLE
640,494,6.1511,181.4082,57.0908,32.9866,0.3106,BLUR
640,494,596.9976,62.9978,22.4041,37.635,2.7093,UNDEREXPOSED
640,494,4625.3185,228.3701,51.3239,23.218,6.1512,OVEREXPOSED
640,494,8284.6556,179.2833,63.9407,44.0547,13.0688,NOISY
640,444,2985.7111,137.0817,62.3008,95.9631,5.034,ACCEPTABLE
640,444,7.1718,137.0967,55.6641,90.1068,0.3368,BLUR
640,444,427.7688,47.5238,21.8607,97.6301,1.9471,UNDEREXPOSED
640,444,4704.9537,200.363,72.2881,66.3046,5.4125,OVEREXPOSED
640,444,7936.9303,136.5645,62.7753,96.3911,12.4819,NOISY
640,427,271.5505,161.5324,67.0266,79.3263,1.5294,ACCEPTABLE
640,427,3.1991,161.5332,65.6333,78.2629,0.1451,BLUR
640,427,50.138,56.0693,23.5214,81.1569,0.6341,UNDEREXPOSED
640,427,386.8642,213.7373,63.9471,62.7472,1.3328,OVEREXPOSED
640,427,5322.663,160.3622,67.6228,82.9134,10.4697,NOISY
640,428,686.6016,125.6157,60.236,59.5268,1.7764,ACCEPTABLE
640,428,3.7124,125.6167,57.6184,58.0185,0.1529,BLUR
640,428,99.7439,43.4647,21.0937,61.2631,0.6718,UNDEREXPOSED
640,428,948.5521,192.0263,68.608,45.9006,1.9163,OVEREXPOSED
640,428,5978.1531,124.9998,61.3055,70.3449,11.0973,NOISY
640,489,463.9251,159.3055,76.7767,90.2384,1.9387,ACCEPTABLE
640,489,4.0537,159.2704,75.1421,87.2191,0.2065,BLUR
640,489,75.6823,55.3197,26.8263,89.7424,0.7539,UNDEREXPOSED
640,489,968.7127,202.5801,82.6888,58.0607,2.246,OVEREXPOSED
640,489,4815.0592,158.6407,75.0089,89.1952,9.8546,NOISY
640,427,1961.1242,156.1763,67.5815,26.1288,3.6287,ACCEPTABLE
640,427,4.0437,156.1564,64.4434,20.4589,0.1981,BLUR
640,427,286.1315,54.2208,23.6594,23.0828,1.4132,UNDEREXPOSED
640,427,3964.9767,213.9546,79.2799,19.7897,3.4991,OVEREXPOSED
640,427,6895.9063,156.1453,67.6265,43.5088,11.6742,NOISY
640,427,1872.1587,102.2889,58.4012,97.7103,5.5569,ACCEPTABLE
640,427,8.1787,102.2382,51.0516,92.5035,0.3905,BLUR
640,427,310.9817,35.3465,20.507,100.1929,2.2672,UNDEREXPOSED
640,427,3217.8799,162.9845,76.9903,87.1664,6.5374,OVEREXPOSED
640,427,6902.8604,102.3385,59.4868,104.5123,12.1575,NOISY
640,427,3217.04,116.0964,59.4991,178.3263,6.2974,ACCEPTABLE
640,427,8.6163,116.0344,49.7331,173.6251,0.4214,BLUR
640,427,453.4364,40.1818,20.8774,179.5837,2.3815,UNDEREXPOSED
640,427,4807.9455,176.857,70.6154,158.905,7.0639,OVEREXPOSED
640,427,8187.3332,115.9787,60.1216,170.3936,13.2179,NOISY
640,427,470.6137,94.0456,65.2352,62.67,1.2105,ACCEPTABLE
640,427,2.9584,94.0428,63.3539,59.6548,0.1036,BLUR
640,427,68.3954,32.4762,22.7827,62.0538,0.4587,UNDEREXPOSED
640,427,930.0512,151.3737,95.5258,57.5921,1.7315,OVEREXPOSED
640,427,5402.2557,95.1447,65.0797,88.3955,10.3699,NOISY
640,427,811.0699,143.8103,59.6452,67.8735,2.1902,ACCEPTABLE
640,427,3.9938,143.7954,56.9079,64.3915,0.1805,BLUR
640,427,130.7234,49.8403,20.9178,71.2389,0.8704,UNDEREXPOSED
640,427,1673.6715,210.5944,74.3116,42.1646,2.7408,OVEREXPOSED
640,427,6084.1354,143.6106,60.7136,71.7881,11.2122,NOISY
640,427,1207.3709,163.1595,62.117,0.0,3.309,ACCEPTABLE
640,427,5.4123,163.1623,57.4727,0.0,0.2577,BLUR
640,427,188.7168,56.6479,21.8084,0.0,1.3304,UNDEREXPOSED
640,427,1933.3566,225.8929,57.9658,0.0,3.2703,OVEREXPOSED
640,427,6197.3237,161.6488,62.4384,26.5309,11.2934,NOISY
640,425,2699.4971,97.6745,58.7625,103.8523,4.4438,ACCEPTABLE
640,425,3.2446,97.6698,55.3109,100.4925,0.154,BLUR
640,425,390.1642,33.7063,20.6221,106.283,1.6934,UNDEREXPOSED
640,425,5354.0265,153.6614,77.8201,84.6179,5.9936,OVEREXPOSED
640,425,7655.2521,97.4915,59.5762,117.3098,12.3423,NOISY
640,427,3329.4875,123.0469,56.4609,125.7184,7.8387,ACCEPTABLE
640,427,9.2631,123.0174,46.3939,118.655,0.4757,BLUR
640,427,522.5478,42.5978,19.8673,127.4346,3.079,UNDEREXPOSED
640,427,5583.1457,185.9252,62.2699,105.4038,9.4518,OVEREXPOSED
640,427,8305.9708,122.8331,57.929,125.7638,13.459,NOISY
640,427,1360.998,164.853,42.8297,132.3858,4.4234,ACCEPTABLE
640,427,6.0257,164.8287,36.3074,129.6481,0.2957,BLUR
640,427,229.1986,57.2022,15.0743,133.3192,1.7898,UNDEREXPOSED
640,427,1842.0613,230.0889,41.5588,76.1878,3.6257,OVEREXPOSED
640,427,6423.011,163.6032,44.9193,130.7541,11.6568,NOISY
640,427,768.0601,174.0003,65.7673,47.6981,2.49,ACCEPTABLE
640,427,3.6041,173.9891,63.5577,45.3926,0.1752,BLUR
640,427,128.8778,60.4137,23.0401,49.0543,1.0022,UNDEREXPOSED
640,427,1387.6245,221.7142,64.4917,30.2984,2.753,OVEREXPOSED
640,427,5803.2868,173.0684,66.6588,52.6205,10.9708,NOISY
640,427,1546.9696,81.66,59.1136,0.0,2.6899,ACCEPTABLE
640,427,3.9181,81.6607,56.4495,0.0,0.1765,BLUR
640,427,224.3514,28.123,20.6952,0.0,1.0603,UNDEREXPOSED
640,427,2756.2757,134.9207,86.1906,0.0,3.5606,OVEREXPOSED
640,427,6404.51,82.64,59.2929,64.8139,11.016,NOISY
640,620,261.0667,127.1117,55.8258,46.6089,1.2741,ACCEPTABLE
640,620,3.1797,127.1095,54.3565,45.9694,0.1343,BLUR
640,620,48.7154,43.9917,19.574,48.5212,0.5147,UNDEREXPOSED
640,620,518.1971,196.5,62.8985,32.0602,1.6219,OVEREXPOSED
640,620,5770.3783,126.5769,57.7084,57.7727,10.8879,NOISY
452,640,274.7882,115.3411,58.7477,116.2566,1.5655,ACCEPTABLE
452,640,3.6848,115.3452,57.0849,114.638,0.1792,BLUR
452,640,48.4728,39.8903,20.5801,118.3811,0.6239,UNDEREXPOSED
452,640,430.464,178.1872,66.0644,103.6082,1.8629,OVEREXPOSED
452,640,5643.9888,114.6589,60.1014,123.6276,10.7964,NOISY
640,427,470.6137,94.0456,65.2352,62.67,1.2105,ACCEPTABLE
640,427,2.9584,94.0428,63.3539,59.6548,0.1036,BLUR
640,427,68.3954,32.4762,22.7827,62.0538,0.4587,UNDEREXPOSED
640,427,930.0512,151.3737,95.5258,57.5921,1.7315,OVEREXPOSED
640,427,5381.2035,95.1191,65.0714,88.3261,10.3233,NOISY
640,442,545.4855,86.7662,65.0093,75.957,2.6136,ACCEPTABLE
640,442,2.9945,86.7699,63.4205,74.422,0.1468,BLUR
640,442,101.8555,29.8537,22.8117,77.6353,1.1018,UNDEREXPOSED
640,442,1014.7102,139.0361,97.1477,53.9732,3.2002,OVEREXPOSED
640,442,5282.6992,87.8419,65.0657,115.9614,10.4116,NOISY
640,427,788.9938,108.4166,49.8636,162.7198,2.917,ACCEPTABLE
640,427,5.4985,108.3937,45.3794,160.2407,0.2845,BLUR
640,427,126.5007,37.4681,17.4869,165.1559,1.1525,UNDEREXPOSED
640,427,1183.5525,173.2815,62.9917,147.9781,3.4928,OVEREXPOSED
640,427,6106.9546,108.3237,51.8126,159.7617,11.3032,NOISY
452,640,274.7882,115.3411,58.7477,116.2566,1.5655,ACCEPTABLE
452,640,3.6848,115.3452,57.0849,114.638,0.1792,BLUR
452,640,48.4728,39.8903,20.5801,118.3811,0.6239,UNDEREXPOSED
452,640,430.464,178.1872,66.0644,103.6082,1.8629,OVEREXPOSED
452,640,5685.3279,114.6541,60.1369,123.6745,10.8085,NOISY
640,427,768.0601,174.0003,65.7673,47.6981,2.49,ACCEPTABLE
640,427,3.6041,173.9891,63.5577,45.3926,0.1752,BLUR
640,427,128.8778,60.4137,23.0401,49.0543,1.0022,UNDEREXPOSED
640,427,1387.6245,221.7142,64.4917,30.2984,2.753,OVEREXPOSED
640,427,5788.373,173.0791,66.6125,52.6281,10.9662,NOISY
640,324,5917.178,115.4884,76.5002,112.3837,10.6681,ACCEPTABLE
640,324,14.5871,115.4511,63.0791,95.4047,0.6272,BLUR
640,324,885.105,40.0324,26.8375,110.4387,4.0876,UNDEREXPOSED
640,324,8914.7051,164.3259,91.2614,96.8384,11.5972,OVEREXPOSED
640,324,10045.7601,115.8568,74.895,112.9354,14.7867,NOISY
640,427,2615.4175,152.2484,44.8012,78.1761,4.9915,ACCEPTABLE
640,427,3.7791,152.2489,40.3046,76.4982,0.1929,BLUR
640,427,387.6286,52.8033,15.7555,79.1427,1.9204,UNDEREXPOSED
640,427,4410.4249,226.0116,43.0686,48.5969,5.6391,OVEREXPOSED
640,427,7992.4975,151.608,47.424,82.1201,12.8172,NOISY
640,427,1219.2481,108.8413,82.7151,127.8975,3.4548,ACCEPTABLE
640,427,5.4557,108.8289,79.5366,124.2348,0.2539,BLUR
640,427,206.1048,37.6135,29.0146,132.491,1.4204,UNDEREXPOSED
640,427,1441.7052,148.7119,95.7368,112.1328,3.297,OVEREXPOSED
640,427,5480.812,109.2201,81.364,130.6458,10.6002,NOISY
640,413,1685.2257,110.6422,49.8083,73.5097,3.6729,ACCEPTABLE
640,413,4.623,110.6461,45.6161,71.3494,0.2445,BLUR
640,413,265.9659,38.2507,17.4956,76.4286,1.4297,UNDEREXPOSED
640,413,2846.875,180.5653,64.8092,61.2578,4.541,OVEREXPOSED
640,413,7096.8871,110.2974,52.0669,83.185,12.0842,NOISY
